ID,ISBN,Автор,Артикул,Бумага,В продаже с,Вес,Возраст,Год издания,Год производства,Издательство,Иллюстраторы,Иллюстрации,Код товара,Место издания,Место производства,Название,Наличие,Обложка,Обрез,Описание,Перевод,Производитель,Размеры в мм (ДхШхВ),Рейтинг,Стикеры,Страниц,Тип обложки,Тираж,Тиснение,Формат,Футляр,Цена,Язык оригинала,Язык текста
1004307,978-5-17-116873-5,Фицджеральд Ф. С.,ASE000000000845258,,27.08.2019,100 гр.,,2019,,АСТ,,,1004307,Москва,,Великий Гэтсби / The Great Gatsby. Уровень 4.,True,https://www.moscowbooks.ru/image/book/668/w259/i668315.jpg,,"""Великий Гэтсби"" — вершина творчества американского писателя Ф. С. Фицджеральда. Поразительное умение автора видеть вечное в сиюминутном, романтическое восприятие жизни, стиль сродни джазовой импровизации — все это делает роман, написанный в 1925 г., интересным и сегодня. Текст произведения сокращен и незначительно адаптирован для уровня Upper-Intermediate (для продолжающих учить английский язык верхней ступени), а также снабжен комментариями. В конце книги — словарь и замечательный очерк Г. Г. Генниса ""О Фицджеральде и его романе"".",,,200x130x7,0,,128,Мягкая обложка,3000 экз.,,84х108 1/32,,112 руб.,,итальянский
1004662,978-5-17-118505-3,Лукьяненко С. В.,ASE000000000846843,,29.08.2019,315 гр.,,2019,,АСТ,,,1004662,Москва,,Сумеречный Дозор.,True,https://www.moscowbooks.ru/image/book/668/w259/i668696.jpg,,"Рожденный человеком не способен стать Иным. Так было всегда. На этом стоит равновесие между Ночным и Дневным Дозорами. Между Светлыми и Темными магами. Что случится, если кто-то сможет превращать в Иных самых обычных людей? Если Светлый маг Гесер и Темный маг Завулон будут вынуждены действовать вместе? Если в элитном жилом комплексе ""Ассоль"", в маленькой подмосковной деревушке и в скором поезде Москва — Алматы будет поставлено на карту само существование Иных — и людей?",,,200x130x30,0,,400,Твердый переплет,3000 экз.,,84х108 1/32,,360 руб.,,русский
1006464,978-5-17-118366-0,Глуховский Д. А.,ASE000000000846758,,09.09.2019,575 гр.,,2019,,АСТ,,,1006464,Москва,,Будущее.,True,https://www.moscowbooks.ru/image/book/670/w259/i670272.jpg,,"НА ЧТО ТЫ ГОТОВ РАДИ ВЕЧНОЙ ЖИЗНИ? Уже при нашей жизни будут сделаны открытия, которые позволят людям оставаться вечно молодыми. Смерти больше нет. Наши дети не умрут никогда. Добро пожаловать в будущее. В мир, населенный вечно юными, совершенно здоровыми, счастливыми людьми. Но будут ли они такими же, как мы? Нужны ли дети, если за них придется пожертвовать бессмертием? Нужна ли семья тем, кто не может завести детей? Нужна ли душа людям, тело которых не стареет? Утопия ""БУДУЩЕЕ"" — первый после пяти лет молчания роман Дмитрия Глуховского, автора культового романа ""МЕТРО 2033"" и триллера ""Сумерки"". Книги писателя переведены на десятки иностранных языков, продаются миллионными тиражами и экранизируются в Голливуде. Но ни одна из них не захватит вас так, как ""БУДУЩЕЕ"".",,,215x170x30,0,,480,Твердый переплет,3000 экз.,,70х90 1/16,,690 руб.,,русский
1006604,4607031771372,"Стругацкий А. Н., Стругацкий Б. Н.",93251,,09.09.2019,300 гр.,,,2019,,,,1006604,,Москва,Собрание сочинений. Том 1. 12 CD: Мр3.,True,https://www.moscowbooks.ru/image/book/670/w259/i670378.jpg,,"""Аудиокнига в автомобиле"" — тщательно и с любовью подобранная коллекция аудиокниг, которые скрасят вам часы, проводимые в поездке. Мы предлагаем вашему вниманию отечественную и зарубежную классику, приключенческую и деловую литературу. А если путь предстоит неблизкий, а на соседнем сиденье расположился ребёнок, то не лишней окажется подборка рассказов и сказок для детей или ""Развивающих аудиоэнциклопедий"". Эта серия студии ""АРДИС"" издается в удобном, застёгивающемся на молнию металлическом боксе, который легко положить в бардачок автомобиля.Время звучания: 107 часов 26 минутИсполнители: Левашёв В.",,Ардис,157x157x25,0,,,Коробка,,,,,976 руб.,,русский
1006605,4607031771389,"Стругацкий А. Н., Стругацкий Б. Н.",93253,,09.09.2019,300 гр.,,,2019,,,,1006605,,Москва,Собрание сочинений. Том 2. 12 CD: Мр3.,True,https://www.moscowbooks.ru/image/book/670/w259/i670377.jpg,,"""Аудиокнига в автомобиле"" — тщательно и с любовью подобранная коллекция аудиокниг, которые скрасят вам часы, проводимые в поездке. Мы предлагаем вашему вниманию отечественную и зарубежную классику, приключенческую и деловую литературу. А если путь предстоит неблизкий, а на соседнем сиденье расположился ребёнок, то не лишней окажется подборка рассказов и сказок для детей или ""Развивающих аудиоэнциклопедий"". Эта серия студии ""АРДИС"" издается в удобном, застёгивающемся на молнию металлическом боксе, который легко положить в бардачок автомобиляВ коллекцию ""Стругацкие. Собрание сочинений"" мы включили 12 компакт-дисков с записями романов и повестей, а также нескольких рассказов, созданных знаменитыми братьями совместно. В собрание вошёл и роман Аркадия Стругацкого ""Экспедиция в преисподнюю"".Время звучания: 95 часов 27 минут.Исполнители: Гребенщиков К.",,Ардис,157x157x25,0,,,Коробка,,,,,976 руб.,,русский
1006768,978-5-17-116868-1,Фицджеральд Ф. С.,ASE000000000845254,,10.09.2019,215 гр.,,2019,,АСТ,,,1006768,Москва,,По эту сторону рая.,True,https://www.moscowbooks.ru/image/book/670/w259/i670786.jpg,,"Первый роман Фицджеральда, принесший ему литературную славу. Книга, ставшая манифестом для американской молодежи ""эпохи джаза"". Все молодые люди одинаковы. Они уверены, что их ждет блестящее будущее и весь мир принадлежит именно им. Так считал и амбициозный Эмори Блейн — пока не прошел суровую школу Первой мировой войны. Его история — судьба целого поколения, для которого ""все боги умерли, все войны отгремели, всякая вера подорвана"". Теперь, после множества потерь, вереницы неудач и горьких разочарований он жадно хочет только одного — развлекаться и наслаждаться каждым моментом. Но какова истинная ценность жизни ""по эту сторону рая""?",Лорие М.,,180x115x25,0,,352,Мягкая обложка,5000 экз.,,76х100 1/32,,152 руб.,английский,русский
1007209,978-5-17-118524-4,Лукьяненко С. В.,ASE000000000846848,,12.09.2019,290 гр.,,2019,,АСТ,,,1007209,Москва,,Последний Дозор.,True,https://www.moscowbooks.ru/image/book/670/w259/i670888.jpg,,"""Последний Дозор"" — это путешествие с лучшим российским фантастом в поисках новой истины. Но будьте осторожны: автор не любит простых решений и коротких дорог. Так что приключение обещает быть ярким и заманчивым. Как сама жизнь, с разнообразием которой может сравниться только фантастика ""Последнего Дозора"". В Путь?!",,,200x130x27,0,,368,Твердый переплет,3000 экз.,,84х108 1/32,,360 руб.,,русский
1007342,978-5-389-08828-3,Фицджеральд Ф. С.,А0000015751,,13.09.2019,670 гр.,,2019,,КоЛибри; Азбука-Аттикус,,,1007342,Москва,,Заметки о моем поколении.,True,https://www.moscowbooks.ru/image/book/670/w259/i670918.jpg,,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",,,215x145x28,5,,544,Твердый переплет,3000 экз.,,60х90 1/16,,558 руб.,английский,русский
1007343,978-5-389-08828-3,Фицджеральд Ф. С.,А0000015751,,13.09.2019,670 гр.,,2019,,КоЛибри; Азбука-Аттикус,,,1007343,Москва,,Заметки о моем поколении.,True,https://www.moscowbooks.ru/image/book/670/w259/i670918.jpg,,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",,,215x145x28,0,,544,Твердый переплет,3000 экз.,,60х90 1/16,,558 руб.,английский,русский
1008649,978-5-699-80076-6,Роллинс Дж.,ITD000000000604796,,20.09.2019,225 гр.,,2019,,Эксмо,,,1008649,Москва,,Алтарь Эдема.,True,https://www.moscowbooks.ru/image/book/672/w259/i672318.jpg,,"После жесточайшего урагана пограничная служба обнаружила в дельте Миссисипи потерпевший крушение траулер. Но странное дело, на судне нет ни одного человека команды, зато в трюме пограничники находят удивительный груз — попугая в клетке, умеющего вычислять число «пи», детеныша саблезубого ягуара, питона, обладающего конечностями, и множество других невероятных животных, словно бы явившихся в наше время из каких-то доисторических эпох. Для того чтобы разобраться с находкой, на судно приглашают ученого специалиста из Нового Орлеана. Лорна Полк еще не приступила к исследованиям, как на траулере и вокруг него начинают происходить странные и страшные события.",Филонов А. В.,,165x112x20,0,,512,Мягкая обложка,2000 экз.,,70х100 1/32,,184 руб.,английский,русский
1009580,978-5-17-118480-3,Лукьяненко С. В.,ASE000000000846855,,26.09.2019,295 гр.,,2019,,АСТ,,,1009580,Москва,,Новый Дозор.,True,https://www.moscowbooks.ru/image/book/673/w259/i673070.jpg,,"Ночной Дозор, Дневной, Сумеречный и, наконец, Последний. Все? Существует ли конец Пути? Нет! Читайте ""Новый Дозор""!!!",,,200x130x27,0,,384,Твердый переплет,3000 экз.,,84х108 1/32,,360 руб.,,русский
1009946,978-5-17-118245-8,Фицджеральд Ф. С.,ASE000000000846618,,27.09.2019,1075 гр.,,2019,,АСТ,,,1009946,Москва,,Все романы в одном томе.,True,https://www.moscowbooks.ru/image/book/673/w259/i673351.jpg,,"Под одной обложкой представлены ВСЕ РОМАНЫ классика американской литературы Фрэнсиса Скотта Фицджеральда. От ранних, ироничных и печальных произведений ""По эту сторону рая"" и ""Прекрасные и обреченные"", своеобразных манифестов молодежи ""века джаза"", до поздних признанных шедевров — ""Великий Гэтсби"", ""Ночь нежна"" и ""Последний магнат"". Глубокая, очень разная по содержанию проза об искрометной жажде жизни, манящей и ускользающей любви, волнующей погоне за мечтой и вечном празднике, который в любой момент может обернуться трагедией.",,,215x145x55,0,,1216,Твердый переплет,3000 экз.,,60х90 1/16,,647 руб.,английский,русский
1010126,978-5-00111-588-5,Хантер Э.,238119,,30.09.2019,330 гр.,11 +,2020,,Абрис,Насыров Л.,,1010126,Москва,,Дымная гора.,True,https://www.moscowbooks.ru/image/book/673/w259/i673483.jpg,,"Странники узнают, что есть на свете такое место, где разные медведи живут в мире и согласии, где много добычи и где не бывает Плосколицых...Белый медвежонок Таккик, его сестра Каллик, черный медвежонок-барибал Луса, медвежонок — гризли Токло и волшебный медвежонок Уджурак решают, что это и есть то, что они ищут. Но путь к медвежьему раю таит множество бед...Дымная гора становится для друзей самым большим испытанием. Каждый из них вынужден продолжить свой путь в одиночку.Постепенно герои понимают, что это не конец пути, что все только начинается…",Максимова В.,,200x130x16,0,,320,Твердый переплет,3000 экз.,,84х108 1/32,,312 руб.,английский,русский
1011243,978-5-389-13319-8,Роулинг Дж. К.,А0000014072,,07.10.2019,2090 гр.,14 +,2019,,Махаон; Азбука-Аттикус,Кей Джим,,1011243,Москва,,Гарри Поттер и Кубок Огня.,True,https://www.moscowbooks.ru/image/book/674/w259/i674488.jpg,,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них — встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира — лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией… С неподражаемым художественным мастерством Джим Кей, лауреат премии Кейт Гринуэй, создает образы любимых героев — Шизоглаза Хмури, Виктора Крума, Риты Вритер и многих других, в то время как ""Бэльстэк"", ""Дурмштранг"" и ""Хогварц"" сражаются за Тремудрый Приз в этом грандиозном иллюстрированном издании четвертой книги столь любимой истории.",Спивак М.,,290x247x42,5,,452,Твердый переплет+суперобложка,12000 экз.,,60х100 1/8,,1729 руб.,английский,русский
1011244,978-5-389-13319-8,Роулинг Дж. К.,А0000014072,,07.10.2019,2090 гр.,14 +,2019,,Махаон; Азбука-Аттикус,Кей Джим,,1011244,Москва,,Гарри Поттер и Кубок Огня.,True,https://www.moscowbooks.ru/image/book/674/w259/i674488.jpg,,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них — встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира — лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией… С неподражаемым художественным мастерством Джим Кей, лауреат премии Кейт Гринуэй, создает образы любимых героев — Шизоглаза Хмури, Виктора Крума, Риты Вритер и многих других, в то время как ""Бэльстэк"", ""Дурмштранг"" и ""Хогварц"" сражаются за Тремудрый Приз в этом грандиозном иллюстрированном издании четвертой книги столь любимой истории.",Спивак М.,,290x247x42,0,,452,Твердый переплет+суперобложка,12000 экз.,,60х100 1/8,,1729 руб.,английский,русский
1011948,978-5-17-118843-6,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000847243,,10.10.2019,540 гр.,,2019,,АСТ,,,1011948,Москва,,Собрание сочинений. Том 9. 1985—1990.,True,https://www.moscowbooks.ru/image/book/675/w259/i675133.jpg,,"Аркадий (1925-1991) и Борис (1933-2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""Отягощенные злом"", ""Жиды города Питера"" и ранее не публиковавшиеся рассказы.",,,215x145x35,0,,496,Твердый переплет,1500 экз.,,60х90 1/16,,647 руб.,,русский
1011949,978-5-17-118536-7,Лукьяненко С. В.,ASE000000000846858,,10.10.2019,290 гр.,,2019,,АСТ,,,1011949,Москва,,Шестой Дозор.,True,https://www.moscowbooks.ru/image/book/675/w259/i675054.jpg,,Это последняя книга о Светлом маге Антоне Городецком.,,,206x133x21,0,,352,Твердый переплет,3000 экз.,,84х108 1/32,,360 руб.,,русский
1012069,978-5-17-118864-1,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000847263,,11.10.2019,295 гр.,,2019,,АСТ,,,1012069,Москва,,Понедельник начинается в субботу.,True,https://www.moscowbooks.ru/image/book/675/w259/i675187.jpg,,"В этот том вошел знаменитый роман братьев Стругацких ""Понедельник начинается в субботу"" — буквально раздерганная на цитаты история веселых, остроумных сотрудников таинственного института НИИЧАВО, где вполне всерьез занимаются исследованием магии и волшебства.",,,200x130x24,5,,288,Твердый переплет,5000 экз.,,84х108 1/32,,304 руб.,,русский
1012072,978-5-17-118639-5,"Стругацкий А. Н., Стругацкий Б. Н.",ASE000000000847008,,11.10.2019,250 гр.,,2019,,АСТ,,,1012072,Москва,,Трудно быть богом.,True,https://www.moscowbooks.ru/image/book/675/w259/i675184.jpg,,"Возможно, самое известное из произведений братьев Стругацких. Один из самых прославленных повестей отечественной фантастики. Увлекательная, полная драматизма история жизни, любви и приключений дона Руматы из королевства Арканар на далекой планете — рыцаря с двумя мечами, под именем которого скрывается Антон, резидент с планеты Земля.",,,200x130x20,0,,224,Твердый переплет,4000 экз.,,84х108 1/32,,304 руб.,,русский
