Код товара,Автор,Название,Наличие,Описание,Рейтинг,Обложка,Жанры,Издательство,Год издания,Место издания,Язык текста,Тип обложки,Формат,Размеры в мм (ДхШхВ),Вес,Страниц,Тираж,Артикул,ISBN,В продаже с,Возраст,Тиснение,Бумага,Обрез,Иллюстрации,Язык оригинала,Перевод,Производитель,Год производства,Место производства,Стикеры,Иллюстраторы,Футляр
1004307,Фицджеральд Ф. С.,Великий Гэтсби / The Great Gatsby. Уровень 4,True,"""Великий Гэтсби"" — вершина творчества американского писателя Ф. С. Фицджеральда. Поразительное умение автора видеть вечное в сиюминутном, романтическое восприятие жизни, стиль сродни джазовой импровизации — все это делает роман, написанный в 1925 г., интересным и сегодня.  Текст произведения сокращен и незначительно адаптирован для уровня Upper-Intermediate (для продолжающих учить английский язык верхней ступени), а также снабжен комментариями.  В конце книги — словарь и замечательный очерк Г. Г. Генниса ""О Фицджеральде и его романе"".",0,https://www.moscowbooks.ru/image/book/668/w259/i668315.jpg,,АСТ,2019,Москва,итальянский,Мягкая обложка,84х108 1/32,200x130x7,100 гр.,128,3000 экз.,ASE000000000845258,978-5-17-116873-5,27.08.2019,,,,,,,,,,,,,
1004662,Лукьяненко С. В.,Сумеречный Дозор,True,"Рожденный человеком не способен стать Иным. Так было всегда. На этом стоит равновесие между Ночным и Дневным Дозорами. Между Светлыми и Темными магами. Что случится, если кто-то сможет превращать в Иных самых обычных людей? Если Светлый маг Гесер и Темный маг Завулон будут вынуждены действовать вместе? Если в элитном жилом комплексе ""Ассоль"", в маленькой подмосковной деревушке и в скором поезде Москва — Алматы будет поставлено на карту само существование Иных — и людей?",0,https://www.moscowbooks.ru/image/book/668/w259/i668696.jpg,Социальная фантастика;Фэнтези,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x30,315 гр.,400,3000 экз.,ASE000000000846843,978-5-17-118505-3,29.08.2019,,,,,,,,,,,,,
1006464,Глуховский Д. А.,Будущее,True,"НА ЧТО ТЫ ГОТОВ РАДИ ВЕЧНОЙ ЖИЗНИ?  Уже при нашей жизни будут сделаны открытия, которые позволят людям оставаться вечно молодыми. Смерти больше нет. Наши дети не умрут никогда.  Добро пожаловать в будущее. В мир, населенный вечно юными, совершенно здоровыми, счастливыми людьми.  Но будут ли они такими же, как мы? Нужны ли дети, если за них придется пожертвовать бессмертием? Нужна ли семья тем, кто не может завести детей? Нужна ли душа людям, тело которых не стареет?  Утопия ""БУДУЩЕЕ"" — первый после пяти лет молчания роман Дмитрия Глуховского, автора культового романа ""МЕТРО 2033"" и триллера ""Сумерки"". Книги писателя переведены на десятки иностранных языков, продаются миллионными тиражами и экранизируются в Голливуде. Но ни одна из них не захватит вас так, как ""БУДУЩЕЕ"".",0,https://www.moscowbooks.ru/image/book/670/w259/i670272.jpg,Научная фантастика;Социальная фантастика,АСТ,2019,Москва,русский,Твердый переплет,70х90 1/16,215x170x30,575 гр.,480,3000 экз.,ASE000000000846758,978-5-17-118366-0,09.09.2019,,,,,,,,,,,,,
1006604,"Стругацкий А. Н.,Стругацкий Б. Н.",Собрание сочинений. Том 1. 12 CD: Мр3,True,"""Аудиокнига в автомобиле"" — тщательно и с любовью подобранная коллекция аудиокниг, которые скрасят вам часы, проводимые в поездке. Мы предлагаем вашему вниманию отечественную и зарубежную классику, приключенческую и деловую литературу. А если путь предстоит неблизкий, а на соседнем сиденье расположился ребёнок, то не лишней окажется подборка рассказов и сказок для детей или ""Развивающих аудиоэнциклопедий"". Эта серия студии ""АРДИС"" издается в удобном, застёгивающемся на молнию металлическом боксе, который легко положить в бардачок автомобиля. Время звучания: 107 часов 26 минут Исполнители: Левашёв В.",0,https://www.moscowbooks.ru/image/book/670/w259/i670378.jpg,,,,,русский,Коробка,,157x157x25,300 гр.,,,93251,4607031771372,09.09.2019,,,,,,,,Ардис,2019,Москва,,,
1006605,"Стругацкий А. Н.,Стругацкий Б. Н.",Собрание сочинений. Том 2. 12 CD: Мр3,True,"""Аудиокнига в автомобиле"" — тщательно и с любовью подобранная коллекция аудиокниг, которые скрасят вам часы, проводимые в поездке. Мы предлагаем вашему вниманию отечественную и зарубежную классику, приключенческую и деловую литературу. А если путь предстоит неблизкий, а на соседнем сиденье расположился ребёнок, то не лишней окажется подборка рассказов и сказок для детей или ""Развивающих аудиоэнциклопедий"". Эта серия студии ""АРДИС"" издается в удобном, застёгивающемся на молнию металлическом боксе, который легко положить в бардачок автомобиля В коллекцию ""Стругацкие. Собрание сочинений"" мы включили 12 компакт-дисков с записями романов и повестей, а также нескольких рассказов, созданных знаменитыми братьями совместно. В собрание вошёл и роман Аркадия Стругацкого ""Экспедиция в преисподнюю"". Время звучания: 95 часов 27 минут. Исполнители: Гребенщиков К.",0,https://www.moscowbooks.ru/image/book/670/w259/i670377.jpg,,,,,русский,Коробка,,157x157x25,300 гр.,,,93253,4607031771389,09.09.2019,,,,,,,,Ардис,2019,Москва,,,
1006768,Фицджеральд Ф. С.,По эту сторону рая,True,"Первый роман Фицджеральда, принесший ему литературную славу. Книга, ставшая манифестом для американской молодежи ""эпохи джаза"". Все молодые люди одинаковы. Они уверены, что их ждет блестящее будущее и весь мир принадлежит именно им. Так считал и амбициозный Эмори Блейн — пока не прошел суровую школу Первой мировой войны. Его история — судьба целого поколения, для которого ""все боги умерли, все войны отгремели, всякая вера подорвана"". Теперь, после множества потерь, вереницы неудач и горьких разочарований он жадно хочет только одного — развлекаться и наслаждаться каждым моментом. Но какова истинная ценность жизни ""по эту сторону рая""?",0,https://www.moscowbooks.ru/image/book/670/w259/i670786.jpg,,АСТ,2019,Москва,русский,Мягкая обложка,76х100 1/32,180x115x25,215 гр.,352,5000 экз.,ASE000000000845254,978-5-17-116868-1,10.09.2019,,,,,,английский,Лорие М.,,,,,,
1007209,Лукьяненко С. В.,Последний Дозор,True,"""Последний Дозор"" — это путешествие с лучшим российским фантастом в поисках новой истины. Но будьте осторожны: автор не любит простых решений и коротких дорог. Так что приключение обещает быть ярким и заманчивым. Как сама жизнь, с разнообразием которой может сравниться только фантастика ""Последнего Дозора"". В Путь?!",0,https://www.moscowbooks.ru/image/book/670/w259/i670888.jpg,Фэнтези,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x27,290 гр.,368,3000 экз.,ASE000000000846848,978-5-17-118524-4,12.09.2019,,,,,,,,,,,,,
1007342,Фицджеральд Ф. С.,Заметки о моем поколении,True,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",5,https://www.moscowbooks.ru/image/book/670/w259/i670918.jpg,,КоЛибри; Азбука-Аттикус,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x28,670 гр.,544,3000 экз.,А0000015751,978-5-389-08828-3,13.09.2019,,,,,,английский,,,,,,,
1007343,Фицджеральд Ф. С.,Заметки о моем поколении,True,"Фрэнсис Скотт Фицджеральд, возвестивший миру о начале нового века — ""века джаза"", стоит особняком в современной американской классике. Плоть от плоти той легендарной эпохи, он отразил ее ярче и беспристрастнее всех. Эрнест Хемингуэй писал о нем: ""Его талант был таким естественным, как узор из пыльцы на крыльях бабочки"". Книга ""Заметки о моем поколении"" представляет признанного мастера тонкого психологизма сразу с многих сторон: здесь и не переиздававшаяся без малого век автобиографическая повесть ""Странствие Самоходной Развалюхи"", и полное собрание статей, виртуозно балансирующих на грани между художественной прозой и документальной, и подборка стихотворений, и единственная в его творческом наследии полноценная пьеса — ""Размазня, или Из Президентов в почтальоны""… Большинство представленных в сборнике произведений переведены впервые, а немногие старые переводы тщательно отредактированы и восстановлены.",0,https://www.moscowbooks.ru/image/book/670/w259/i670918.jpg,,КоЛибри; Азбука-Аттикус,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x28,670 гр.,544,3000 экз.,А0000015751,978-5-389-08828-3,13.09.2019,,,,,,английский,,,,,,,
1008649,Роллинс Дж.,Алтарь Эдема,True,"После жесточайшего урагана пограничная служба обнаружила в дельте Миссисипи потерпевший крушение траулер. Но странное дело, на судне нет ни одного человека команды, зато в трюме пограничники находят удивительный груз — попугая в клетке, умеющего вычислять число «пи», детеныша саблезубого ягуара, питона, обладающего конечностями, и множество других невероятных животных, словно бы явившихся в наше время из каких-то доисторических эпох. Для того чтобы разобраться с находкой, на судно приглашают ученого специалиста из Нового Орлеана. Лорна Полк еще не приступила к исследованиям, как на траулере и вокруг него начинают происходить странные и страшные события.",0,https://www.moscowbooks.ru/image/book/672/w259/i672318.jpg,Ужасы. Мистика,Эксмо,2019,Москва,русский,Мягкая обложка,70х100 1/32,165x112x20,225 гр.,512,2000 экз.,ITD000000000604796,978-5-699-80076-6,20.09.2019,,,,,,английский,Филонов А. В.,,,,,,
1009580,Лукьяненко С. В.,Новый Дозор,True,"Ночной Дозор, Дневной, Сумеречный и, наконец, Последний.  Все? Существует ли конец Пути?  Нет!  Читайте ""Новый Дозор""!!!",0,https://www.moscowbooks.ru/image/book/673/w259/i673070.jpg,Фэнтези,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x27,295 гр.,384,3000 экз.,ASE000000000846855,978-5-17-118480-3,26.09.2019,,,,,,,,,,,,,
1009946,Фицджеральд Ф. С.,Все романы в одном томе,True,"Под одной обложкой представлены ВСЕ РОМАНЫ классика американской литературы Фрэнсиса Скотта Фицджеральда. От ранних, ироничных и печальных произведений ""По эту сторону рая"" и ""Прекрасные и обреченные"", своеобразных манифестов молодежи ""века джаза"", до поздних признанных шедевров — ""Великий Гэтсби"", ""Ночь нежна"" и ""Последний магнат"". Глубокая, очень разная по содержанию проза об искрометной жажде жизни, манящей и ускользающей любви, волнующей погоне за мечтой и вечном празднике, который в любой момент может обернуться трагедией.",0,https://www.moscowbooks.ru/image/book/673/w259/i673351.jpg,,АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x55,1075 гр.,1216,3000 экз.,ASE000000000846618,978-5-17-118245-8,27.09.2019,,,,,,английский,,,,,,,
1010126,Хантер Э.,Дымная гора,True,"Странники узнают, что есть на свете такое место, где разные медведи живут в мире и согласии, где много добычи и где не бывает Плосколицых... Белый медвежонок Таккик, его сестра Каллик, черный медвежонок-барибал Луса, медвежонок — гризли Токло и волшебный медвежонок Уджурак решают, что это и есть то, что они ищут. Но путь к медвежьему раю таит множество бед... Дымная гора становится для друзей самым большим испытанием. Каждый из них вынужден продолжить свой путь в одиночку. Постепенно герои понимают, что это не конец пути, что все только начинается…",0,https://www.moscowbooks.ru/image/book/673/w259/i673483.jpg,,Абрис,2020,Москва,русский,Твердый переплет,84х108 1/32,200x130x16,330 гр.,320,3000 экз.,238119,978-5-00111-588-5,30.09.2019,11 +,,,,,английский,Максимова В.,,,,,Насыров Л.,
1011243,Роулинг Дж. К.,Гарри Поттер и Кубок Огня,True,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них — встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира — лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией…  С неподражаемым художественным мастерством Джим Кей, лауреат премии Кейт Гринуэй, создает образы любимых героев — Шизоглаза Хмури, Виктора Крума, Риты Вритер и многих других, в то время как ""Бэльстэк"", ""Дурмштранг"" и ""Хогварц"" сражаются за Тремудрый Приз в этом грандиозном иллюстрированном издании четвертой книги столь любимой истории.",5,https://www.moscowbooks.ru/image/book/674/w259/i674488.jpg,,Махаон; Азбука-Аттикус,2019,Москва,русский,Твердый переплет+суперобложка,60х100 1/8,290x247x42,2090 гр.,452,12000 экз.,А0000014072,978-5-389-13319-8,07.10.2019,14 +,,,,,английский,Спивак М.,,,,,Кей Джим,
1011244,Роулинг Дж. К.,Гарри Поттер и Кубок Огня,True,"С момента, когда Смертный Знак загорелся в небе во время финального матча Кубка мира по квидишу, опасность неотступно преследует Гарри Поттера. Выбранный Кубком Огня, чтобы представлять Хогварц и защищать честь школы в легендарном Тремудром Турнире, Гарри проходит через сложнейшие испытания, которые могли бы стать вызовом для самых выдающихся колдунов. И первое из них — встреча с кровожадным венгерским хвосторогом. Но для Гарри соревнования Турнира — лишь прелюдия к гораздо более зловещему испытанию. В туманах деревушки Малый Висельтон, где находятся могилы предков Тома Реддля, Гарри сталкивается с самой черной магией…  С неподражаемым художественным мастерством Джим Кей, лауреат премии Кейт Гринуэй, создает образы любимых героев — Шизоглаза Хмури, Виктора Крума, Риты Вритер и многих других, в то время как ""Бэльстэк"", ""Дурмштранг"" и ""Хогварц"" сражаются за Тремудрый Приз в этом грандиозном иллюстрированном издании четвертой книги столь любимой истории.",0,https://www.moscowbooks.ru/image/book/674/w259/i674488.jpg,,Махаон; Азбука-Аттикус,2019,Москва,русский,Твердый переплет+суперобложка,60х100 1/8,290x247x42,2090 гр.,452,12000 экз.,А0000014072,978-5-389-13319-8,07.10.2019,14 +,,,,,английский,Спивак М.,,,,,Кей Джим,
1011948,"Стругацкий А. Н.,Стругацкий Б. Н.",Собрание сочинений. Том 9. 1985—1990,True,"Аркадий (1925-1991) и Борис (1933-2012) Стругацкие — русские советские писатели-фантасты, поднявшие отечественную фантастику до высот мирового уровня. Переведенные на все основные языки, изданные суммарным тиражом более 500 миллионов экземпляров, их книги до сих пор экранизируются, активно обсуждаются и служат источником вдохновения для нового поколения писателей и читателей. В этот том вошли ""Отягощенные злом"", ""Жиды города Питера"" и ранее не публиковавшиеся рассказы.",0,https://www.moscowbooks.ru/image/book/675/w259/i675133.jpg,Классическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,60х90 1/16,215x145x35,540 гр.,496,1500 экз.,ASE000000000847243,978-5-17-118843-6,10.10.2019,,,,,,,,,,,,,
1011949,Лукьяненко С. В.,Шестой Дозор,True,Это последняя книга о Светлом маге Антоне Городецком.,0,https://www.moscowbooks.ru/image/book/675/w259/i675054.jpg,Фэнтези,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,206x133x21,290 гр.,352,3000 экз.,ASE000000000846858,978-5-17-118536-7,10.10.2019,,,,,,,,,,,,,
1012069,"Стругацкий А. Н.,Стругацкий Б. Н.",Понедельник начинается в субботу,True,"В этот том вошел знаменитый роман братьев Стругацких ""Понедельник начинается в субботу"" — буквально раздерганная на цитаты история веселых, остроумных сотрудников таинственного института НИИЧАВО, где вполне всерьез занимаются исследованием магии и волшебства.",0,https://www.moscowbooks.ru/image/book/675/w259/i675187.jpg,Классическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x24,295 гр.,288,5000 экз.,ASE000000000847263,978-5-17-118864-1,11.10.2019,,,,,,,,,,,,,
1012072,"Стругацкий А. Н.,Стругацкий Б. Н.",Трудно быть богом,True,"Возможно, самое известное из произведений братьев Стругацких. Один из самых прославленных повестей отечественной фантастики. Увлекательная, полная драматизма история жизни, любви и приключений дона Руматы из королевства Арканар на далекой планете — рыцаря с двумя мечами, под именем которого скрывается Антон, резидент с планеты Земля.",0,https://www.moscowbooks.ru/image/book/675/w259/i675184.jpg,Классическая фантастика,АСТ,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x20,250 гр.,224,4000 экз.,ASE000000000847008,978-5-17-118639-5,11.10.2019,,,,,,,,,,,,,
1012089,Достоевский Ф. М.,Преступление и наказание,True,"""Преступление и наказание"" — высочайший образец криминального романа. В рамках жанра полицейского расследования писатель поставил вопросы, и по сей день не решенные. Кем должен быть человек: ""тварью дрожащей"", как говорит Раскольников, или ""Наполеоном""? И это проблема уже XXI века. Написанный в 1866 году роман ""Преступление и наказание"" до сих пор остается самой читаемой в мире книгой и входит в большинство школьных программ по литературе.",0,https://www.moscowbooks.ru/image/book/675/w259/i675194.jpg,Классическая российская проза,Эксмо,2019,Москва,русский,Твердый переплет,84х108 1/32,200x130x28,425 гр.,592,7000 экз.,ITD000000000832998,978-5-699-93016-6,11.10.2019,,,,,,,,,,,,,
